"Tempo_idTempo","Hospede_idHospede","Apto_idApartamento","Produto_idProduto","Servico_idServico","quantidade","Valor_Consumo"
"1","1","3","4","5","3","21.11"
"1","2","4","5","1","3","182.78"
"1","3","5","1","2","2","115.55"
"1","4","1","2","3","1","194.41"
"1","5","2","3","4","3","70.39"
"1","6","3","4","5","3","113.75"
"1","7","4","5","1","3","162.56"
"1","8","5","1","2","2","96.55"
"1","9","1","2","3","1","160.08"
"1","10","2","3","4","3","135.76"
"2","1","4","5","1","3","183.55"
"2","2","5","1","2","2","135.47"
"2","3","1","2","3","1","111.69"
"2","4","2","3","4","3","137.06"
"2","5","3","4","5","3","155.22"
"2","6","4","5","1","3","169.92"
"2","7","5","1","2","2","188.92"
"2","8","1","2","3","1","59.87"
"2","9","2","3","4","3","77.59"
"2","10","3","4","5","3","193.35"
"3","1","5","1","2","2","178.95"
"3","2","1","2","3","1","119.72"
"3","3","2","3","4","3","46.75"
"3","4","3","4","5","3","39.6"
"3","5","4","5","1","3","42.76"
"3","6","5","1","2","2","79.99"
"3","7","1","2","3","1","76.65"
"3","8","2","3","4","3","128.29"
"3","9","3","4","5","3","36.51"
"3","10","4","5","1","3","142.66"
"4","1","1","2","3","1","48.76"
"4","2","2","3","4","3","160.83"
"4","3","3","4","5","3","102.89"
"4","4","4","5","1","3","16.94"
"4","5","5","1","2","2","121.04"
"4","6","1","2","3","1","179.38"
"4","7","2","3","4","3","158.8"
"4","8","3","4","5","3","60.83"
"4","9","4","5","1","3","172.78"
"4","10","5","1","2","2","126.4"
"5","1","2","3","4","3","98.64"
"5","2","3","4","5","3","99.01"
"5","3","4","5","1","3","184.14"
"5","4","5","1","2","2","68.65"
"5","5","1","2","3","1","135.84"
"5","6","2","3","4","3","98.24"
"5","7","3","4","5","3","68.68"
"5","8","4","5","1","3","33.68"
"5","9","5","1","2","2","127.38"
"5","10","1","2","3","1","160.85"
"6","1","3","4","5","3","47.13"
"6","2","4","5","1","3","98.07"
"6","3","5","1","2","2","153.99"
"6","4","1","2","3","1","100.72"
"6","5","2","3","4","3","26.64"
"6","6","3","4","5","3","176.03"
"6","7","4","5","1","3","65.22"
"6","8","5","1","2","2","143.01"
"6","9","1","2","3","1","144.4"
"6","10","2","3","4","3","97.95"
"7","1","4","5","1","3","41.55"
"7","2","5","1","2","2","78.9"
"7","3","1","2","3","1","74.88"
"7","4","2","3","4","3","122.67"
"7","5","3","4","5","3","193.71"
"7","6","4","5","1","3","45.53"
"7","7","5","1","2","2","171.52"
"7","8","1","2","3","1","166.01"
"7","9","2","3","4","3","120.5"
"7","10","3","4","5","3","89.45"
"8","1","5","1","2","2","70.75"
"8","2","1","2","3","1","70.4"
"8","3","2","3","4","3","124.75"
"8","4","3","4","5","3","37.53"
"8","5","4","5","1","3","158.43"
"8","6","5","1","2","2","124.57"
"8","7","1","2","3","1","132.55"
"8","8","2","3","4","3","94.04"
"8","9","3","4","5","3","57.54"
"8","10","4","5","1","3","170.6"
"9","1","1","2","3","1","125.38"
"9","2","2","3","4","3","100.07"
"9","3","3","4","5","3","109.24"
"9","4","4","5","1","3","50.99"
"9","5","5","1","2","2","92.23"
"9","6","1","2","3","1","113.17"
"9","7","2","3","4","3","94.17"
"9","8","3","4","5","3","116.33"
"9","9","4","5","1","3","104.15"
"9","10","5","1","2","2","156.77"
"10","1","2","3","4","3","96.38"
"10","2","3","4","5","3","176.6"
"10","3","4","5","1","3","38.87"
"10","4","5","1","2","2","189.55"
"10","5","1","2","3","1","96.14"
"10","6","2","3","4","3","77.06"
"10","7","3","4","5","3","81.87"
"10","8","4","5","1","3","163.17"
"10","9","5","1","2","2","15.23"
"10","10","1","2","3","1","111.64"
