"Hospede_idHospede","Meio_Transporte","Agencia_idAgencia","Apartamento_idApartamento","Motivo_Viagem","Tempo_idTempo","Valor_Faturado"
"1","Aviao","3","3","Lazer","1","1217.13"
"1","Carro","4","4","Lazer","2","264.56"
"1","Onibus","5","5","Lazer","3","1639.06"
"1","Aviao","1","1","Lazer","4","706.5"
"1","Carro","2","2","Lazer","5","369.61"
"1","Onibus","3","3","Lazer","6","1062.29"
"1","Aviao","4","4","Lazer","7","563.43"
"1","Carro","5","5","Lazer","8","1342.39"
"1","Onibus","1","1","Lazer","9","881.29"
"1","Aviao","2","2","Lazer","10","541.44"
"2","Aviao","4","4","Trabalho","1","527.14"
"2","Carro","5","5","Trabalho","2","1292.94"
"2","Onibus","1","1","Trabalho","3","959.91"
"2","Aviao","2","2","Trabalho","4","448.08"
"2","Carro","3","3","Trabalho","5","893.24"
"2","Onibus","4","4","Trabalho","6","432.33"
"2","Aviao","5","5","Trabalho","7","1329.09"
"2","Carro","1","1","Trabalho","8","794.61"
"2","Onibus","2","2","Trabalho","9","458.77"
"2","Aviao","3","3","Trabalho","10","1003.86"
"3","Aviao","5","5","Evento","1","1990.75"
"3","Carro","1","1","Evento","2","944.31"
"3","Onibus","2","2","Evento","3","530.94"
"3","Aviao","3","3","Evento","4","966.05"
"3","Carro","4","4","Evento","5","535.3"
"3","Onibus","5","5","Evento","6","1620.94"
"3","Aviao","1","1","Evento","7","919.87"
"3","Carro","2","2","Evento","8","375.52"
"3","Onibus","3","3","Evento","9","1121.9"
"3","Aviao","4","4","Evento","10","388.56"
"4","Aviao","1","1","Lazer","1","888.7"
"4","Carro","2","2","Lazer","2","540.43"
"4","Onibus","3","3","Lazer","3","827.34"
"4","Aviao","4","4","Lazer","4","542.62"
"4","Carro","5","5","Lazer","5","1740.09"
"4","Onibus","1","1","Lazer","6","1282.63"
"4","Aviao","2","2","Lazer","7","410.77"
"4","Carro","3","3","Lazer","8","757.59"
"4","Onibus","4","4","Lazer","9","630.04"
"4","Aviao","5","5","Lazer","10","1391.39"
"5","Aviao","2","2","Trabalho","1","624.68"
"5","Carro","3","3","Trabalho","2","945.31"
"5","Onibus","4","4","Trabalho","3","631.65"
"5","Aviao","5","5","Trabalho","4","1494.71"
"5","Carro","1","1","Trabalho","5","1216.42"
"5","Onibus","2","2","Trabalho","6","430.85"
"5","Aviao","3","3","Trabalho","7","1246.15"
"5","Carro","4","4","Trabalho","8","465.4"
"5","Onibus","5","5","Trabalho","9","1776.9"
"5","Aviao","1","1","Trabalho","10","714.48"
"6","Aviao","3","3","Evento","1","1143.99"
"6","Carro","4","4","Evento","2","596.4"
"6","Onibus","5","5","Evento","3","1320.54"
"6","Aviao","1","1","Evento","4","965.6"
"6","Carro","2","2","Evento","5","451.29"
"6","Onibus","3","3","Evento","6","908.48"
"6","Aviao","4","4","Evento","7","388.19"
"6","Carro","5","5","Evento","8","1564.12"
"6","Onibus","1","1","Evento","9","912.81"
"6","Aviao","2","2","Evento","10","443.07"
"7","Aviao","4","4","Lazer","1","605.92"
"7","Carro","5","5","Lazer","2","1293.07"
"7","Onibus","1","1","Lazer","3","1184.38"
"7","Aviao","2","2","Lazer","4","342.38"
"7","Carro","3","3","Lazer","5","1260.43"
"7","Onibus","4","4","Lazer","6","402.38"
"7","Aviao","5","5","Lazer","7","2096.96"
"7","Carro","1","1","Lazer","8","944.41"
"7","Onibus","2","2","Lazer","9","590.16"
"7","Aviao","3","3","Lazer","10","904.56"
"8","Aviao","5","5","Trabalho","1","1406.18"
"8","Carro","1","1","Trabalho","2","1251.45"
"8","Onibus","2","2","Trabalho","3","503.86"
"8","Aviao","3","3","Trabalho","4","1196.05"
"8","Carro","4","4","Trabalho","5","314.21"
"8","Onibus","5","5","Trabalho","6","1976.15"
"8","Aviao","1","1","Trabalho","7","1268.01"
"8","Carro","2","2","Trabalho","8","579.21"
"8","Onibus","3","3","Trabalho","9","812.77"
"8","Aviao","4","4","Trabalho","10","352.66"
"9","Aviao","1","1","Evento","1","985.62"
"9","Carro","2","2","Evento","2","364.07"
"9","Onibus","3","3","Evento","3","1150.84"
"9","Aviao","4","4","Evento","4","426.37"
"9","Carro","5","5","Evento","5","1200.49"
"9","Onibus","1","1","Evento","6","801.44"
"9","Aviao","2","2","Evento","7","547.43"
"9","Carro","3","3","Evento","8","1235.84"
"9","Onibus","4","4","Evento","9","405.41"
"9","Aviao","5","5","Evento","10","1434.43"
"10","Aviao","2","2","Lazer","1","527.16"
"10","Carro","3","3","Lazer","2","1101.21"
"10","Onibus","4","4","Lazer","3","591.2"
"10","Aviao","5","5","Lazer","4","1851.93"
"10","Carro","1","1","Lazer","5","1012.65"
"10","Onibus","2","2","Lazer","6","353.26"
"10","Aviao","3","3","Lazer","7","1226.67"
"10","Carro","4","4","Lazer","8","648.51"
"10","Onibus","5","5","Lazer","9","1540.95"
"10","Aviao","1","1","Lazer","10","1019.45"
